Name,ID,Calculus,Chem,Writing,Year
Nicholas Bishop,125586,60,72,72,3
Carissa Witt,425071,86,99,77,3
Keegan Oneil,039488,77,86,81,3
MacKenzie Orr,677643,66,91,68,3
Justin Roberson,254489,88,100,68,2
Ina Franks,527130,82,60,61,3
Sandra Gallagher,505670,91,75,90,3
Derek Castro,013075,62,83,61,2
Cassidy Kirby,354998,66,74,98,3
Willa Levine,105467,63,92,53,3
Maggie Tyler,421464,61,96,73,2
Dara Gray,841253,90,99,97,2
Wynter Wright,183983,80,91,80,3
Fletcher Cooper,986314,98,62,96,2
Abel Moreno,546229,75,80,80,3
Cameron Paul,541172,63,85,50,3
Xenos Hicks,360225,70,70,83,3
Alexis Macias,399310,72,86,76,3
Fitzgerald Marsh,994202,92,73,73,2
Salvador Prince,975940,91,88,81,3
Omar Snyder,109765,88,78,98,2
Ima Moody,573596,96,79,85,2
Conan Byrd,315163,64,63,94,2
Alexander Burt,043139,98,94,67,2
Sandra Decker,724259,70,92,50,2
Benjamin Benjamin,281958,82,94,98,3
Alexander Terry,015316,88,84,96,3
Armand Sawyer,740337,65,79,52,3
Eric Delacruz,960245,87,94,65,2
Natalie Sawyer,146754,99,60,83,2
Wing Andrews,739489,79,66,57,2
Melinda Sweeney,126509,65,86,78,2
Griffith Higgins,444879,85,98,76,2
Lael Avila,553728,80,67,50,2
Althea Miles,131703,90,62,77,2
Ferdinand Park,271333,79,96,93,2
Cooper Roberson,898280,77,95,61,2
Chloe Duncan,251507,81,68,92,2
Kirby Atkins,601912,75,90,77,3
Jordan George,236225,86,72,94,2
Hollee Bauer,085080,79,91,57,3
Fay Oneil,603810,89,77,51,3
Jessamine Wilkins,315896,64,71,80,3
Ezekiel Larsen,355561,61,64,88,3
Inez Scott,266777,87,81,60,3
Ocean Yates,168663,97,70,79,2
Fulton Riley,809375,71,92,52,2
Shad Mack,405404,84,90,70,2
Justina Weeks,847583,85,70,87,3
Piper Good,060147,84,95,53,2
Preston Church,657680,85,76,53,2
Shad Burris,463001,70,77,59,2
Kasimir Carlson,711443,76,68,87,2
Diana Price,148977,82,63,97,2
Kalia Spence,940325,92,66,60,3
Odysseus Holland,930901,90,60,68,3
Gage Sosa,146210,61,92,76,3
Brett Marquez,033335,86,81,98,2
Thaddeus Rivera,136499,72,98,71,2
Elliott Hyde,466619,95,94,66,2
Sonia Fuller,483834,62,75,82,3
Suki Pena,384639,63,86,58,2
Dolan Cote,039269,97,67,62,2
Ramona Spence,248892,81,87,88,2
Hayes Hurley,183580,73,96,50,3
Uta Lewis,489566,65,71,55,3
Silas Cain,247595,78,87,54,2
Catherine Riggs,522380,87,88,94,3
Nomlanga Collier,316966,98,92,56,3
Calvin Randall,358702,81,68,90,2
Georgia Potts,436583,64,67,61,2
Chadwick Park,429390,83,65,75,2
Melinda Sandoval,641072,94,87,83,3
Nadine Wolf,230615,78,61,57,3
Malcolm Cruz,363249,82,62,65,2
Chandler Hart,991680,81,96,66,3
Shellie Eaton,033786,71,89,87,2
Sean Talley,499185,71,65,99,3
Timothy Farrell,524940,83,98,61,3
Adena Peters,870428,61,93,79,2
Yoshi Bullock,152481,93,78,82,3
Amelia Holden,506697,91,87,93,3
Darrel Espinoza,992917,68,90,63,2
Marsden Strong,117754,94,81,52,2
Kyle Delgado,404443,70,68,85,3
Hedy Hardin,987222,96,84,94,2
Alec Buck,539130,78,75,65,2
Hope Buckner,807475,69,60,95,3
Eagan Guerra,431152,85,91,72,2
Hamish Barton,482723,82,77,89,3
Meredith Hooper,897827,74,81,74,3
Erasmus Calhoun,522749,99,71,77,3
Brandon Crawford,938750,77,64,92,2
Ferris Bright,795026,70,60,56,3
Liberty Chandler,892679,94,68,73,2
Jerome Glover,780417,89,98,60,3
Magee Bentley,249954,64,76,75,2
Alfreda Rice,234527,99,89,96,2
Quinn Stewart,848905,65,100,56,3
Drake Bentley,927741,100,80,58,2
